modele,nb_non_prouvees,pct_total,cred_non_prouvees,cred_prouvees,diff_credibilite,alerte_credibilite,nb_non_prov_tres_credibles,pct_non_prov_tres_credibles,certitude_non_prouvees,alerte_certitude,autorite_non_prouvees,alerte_autorite,pct_anxiete_elevee
gpt_oss_20b,1,0.33333333333333337,0.18,0.8711300000000003,-0.6911300000000002,BASSE - OK,0,0.0,0.0,OK,0.0,OK,0.0
meta-llama/llama-4-scout-17b-16e-instruct,7,2.3333333333333335,0.12,0.8761428571428574,-0.7561428571428574,BASSE - OK,0,0.0,0.0,OK,0.0,OK,0.0
