modele,dangereuse,non_prouvee,plausible,prouvee
gpt_oss_20b,0.6666666666666667,0.33333333333333337,65.66666666666666,33.33333333333333
meta-llama/llama-4-scout-17b-16e-instruct,0.0,2.3333333333333335,72.0,25.666666666666664
qwen/qwen3-32b,0.0,0.0,50.50167224080268,49.49832775919732
